Rating,Mobile Name:,Price,RAM
4,"Panasonic P71 (Gold, 16 GB)",6400,2
3.5,"Samsung Galaxy J5 Prime (Gold, 16 GB)",12399,2
3.7,"Panasonic P66 Mega (Russet Brown, 16 GB)",6259,2
4.3,"HTC Desire 826 (White Birch, 16 GB)",12950,2
4,"Moto G (3rd Generation) (White, 16 GB)",10999,2
4,"LG K10 2017 (Gold & Black, 16 GB)",9990,2
3.5,"LG K10 2017 (Black, 16 GB)",9990,2
4.3,"LYF Water 7 (Golden, 16 GB)",8599,2
4.3,"Honor 4X (White, 8 GB)",9999,2
3.9,"Honor 4X (Gold, 8 GB)",10499,2
3.9,"Lenovo K3 Note (Yellow, 16 GB)",9999,2
3.9,"Lenovo K3 Note (Black, 16 GB)",9999,2
3.8,"Panasonic P88 (Gold, 16 GB)",7350,2
3.9,"Intex Aqua Supreme Plus (Champagne Gold, 16 GB)",8200,2
4.3,"Meizu M3 Note (Silver / S/W, 16 GB)",7999,2
4.3,"Meizu M3 Note (Grey, 16 GB)",7999,2
3.8,"BLU Studio One (Grey, 16 GB)",6199,2
3.8,"Lava X19 (Gold, 8 GB)",5555,2
3.6,"Lava A97 4G with VoLTE (Black Grey, 8 GB)",6049,2
3.7,"Intex Aqua Costa (Grey, 8 GB)",4490,2
3.8,"Samsung Galaxy S5 (Shimmery White, 16 GB)",21999,2
4.4,"Mi 3 (Metallic Grey, 16 GB)",13999,2
3.8,"Lava Pixel V2 (Blue, 16 GB)",7999,2
4,"Asus Zenfone 6 (Gold, 16 GB)",7990,2
4,"Moto E 4th Gen (Iron Gray with Black TP, 16 GB)",8450,2
3.8,"Samsung Galaxy S5 (Copper Gold, 16 GB)",21999,2
4,"LG K10 2017 (Titan, 16 GB)",12090,2
3.4,"HTC One E9s (Meteor Grey, 16 GB)",11499,2
4.2,"Lava Z10 (Gold, 16 GB)",8990,2
3.7,"Lava X41 Plus (Gold, 32 GB)",7399,2
3.7,"Lava X41 Plus (Black, 32 GB)",7429,2
4.1,"Honor Holly 3 (Gold, 16 GB)",8990,2
4,"Celkon UFeel (Black & Gold, 16 GB)",5499,2
3.4,"HTC One E9s (Roast Chestnut, 16 GB)",12599,2
3.6,"LYF Wind 4S (Black, 16 GB)",6945,2
3.7,"Karbonn Titanium Machfive (Silver, 16 GB)",4469,2
3.7,"Asus Zenfone GO (Black, 16 GB)",7499,2
3.8,"Micromax Canvas 5 Lite (Slate Grey, 16 GB)",5150,2
