Rating,Mobile Name:,Price,RAM
3.3,"Panasonic Eluga A2 (Metallic Silver, 16 GB)",7490,3
4,"Micromax Canvas 2 (Champagne, 16 GB)",7999,3
3.9,"Moto M (Gold, 32 GB)",13689,3
3.4,"Swipe Elite Note 4G (Black, 16 GB)",6990,3
3.5,"Gigaset ME (White, 32 GB)",8999,3
3.7,"Lenovo Vibe Shot (Grey, 32 GB)",9900,3
4,"Moto G4 Plus (Black, 32 GB)",14746,3
3.8,"Gigaset GS-53 (White, 32 GB)",7950,3
3.8,"LYF F1 (Black, 32 GB)",8749,3
3.9,"LYF Water F1S (Black, 32 GB)",8698,3
3.3,"Lenovo Z2 Plus (Black, 32 GB)",12999,3
3.7,"Intex Aqua Ace ii (White, 3 GB)",6999,3
3.6,"LYF Earth 1 (White, 32 GB)",17500,3
3.2,"LYF Water 8 (Black, 16 GB)",8399,3
3.7,"Kult 10 (Black, 16 GB)",5500,3
4,"Lenovo ZUK Z1 (Space Grey, 64 GB)",12000,3
3.6,"LeEco Le 2 (Rose Gold, 32 GB)",10990,3
3.8,"Panasonic Eluga Prim (Gold, 16 GB)",8199,3
3.7,"Moto G Plus 4th Gen (Black, 32 GB)",14990,3
3.5,"Kara Mega 1 (4G-Volte) (Gold, 32 GB)",8999,3
4,"LG Stylus 3 (Titan, 16 GB)",16100,3
4.1,"ZOPO Flash X Plus (Royale Gold, 32 GB)",9199,3
4.1,"Lenovo Vibe K5 Note (Grey, 32 GB)",11849,3
3.6,"LG Stylus 2 Plus (Brown, 16 GB)",16990,3
3.1,"Panasonic Eluga Prim (Gun Metal Silver, 16 GB)",6999,3
4.1,"Kara Mega 1 (4G-Volte) (Stardust Grey, 32 GB)",8999,3
4.1,"Videocon Cube 3 (Black & Gold, 32 GB)",7459,3
3.7,"LG Stylus 2 Plus (Titan, 16 GB)",14990,3
3.6,"ZOPO Flash X Plus (Space Grey, 32 GB)",10499,3
3.9,"Samsung Galaxy J7 Prime (Black, 16 GB)",13995,3
3.9,"Panasonic Eluga Turbo (Champagne Gold, 32 GB)",9199,3
3.9,"Sony Xperia M5 Dual (Black, 16 GB)",19990,3
4,"Intex Cloud Crystal 2.5D (Black, 16 GB)",6299,3
4.1,"mPhone 6 (Gold, 32 GB)",12999,3
3.9,"mPhone 6 (Grey, 32 GB)",12999,3
3.8,"Gionee F103 Pro (White, 16 GB)",10200,3
3.3,"LG G4 (Genuine Leather Brown, 32 GB)",20488,3
4.2,"HTC One M9+ (Silver and Gold, 32 GB)",40499,3
4,"mPhone 6 (White, 32 GB)",12997,3
3.5,"HTC One Me Dual (Meteor Grey, 32 GB)",20250,3
3.8,"Gionee Elife E8 (Gold, 64 GB)",19900,3
4.3,"ZOPO Color- X5.5 (Royale Gold, 16 GB)",7999,3
4,"ZOPO Color - X5.5 (Orchid Gold, 16 GB)",7999,3
4,"Nexus 6 (Cloud White, 32 GB)",10590,3
3.7,"Micromax Canvas Infinity HS2 (Black, 32 GB)",9599,3
3.9,"Moto E4 Plus (Fine Gold, 32 GB)",9599,3
4,"Moto E4 Plus (Iron Gray, 32 GB)",7499,3
4,"Micromax Canvas 5 (Walnut Wood, 32 GB)",29990,3
3.7,"Moto X Force (Black, 64 GB)",10650,3
3.6,"Lenovo K6 Note (Silver, 32 GB)",10436,3
4,"Lenovo K6 Note (Gold, 32 GB)",8599,3
